,number_pca_components_class
0,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,6
9,5
10,5
11,5
12,5
13,6
14,5
15,5
16,6
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,4
35,5
36,5
37,5
38,6
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,6
50,5
51,5
52,6
53,5
54,5
55,5
56,5
57,5
58,6
59,5
60,5
61,5
62,5
63,6
64,5
65,6
66,5
67,5
68,5
69,5
70,5
71,5
72,6
73,5
74,6
75,5
76,6
77,5
78,5
79,6
80,5
81,5
82,5
83,5
84,5
85,6
86,5
87,6
88,5
89,6
90,5
91,6
92,5
93,5
94,5
95,6
96,6
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,6
105,5
106,5
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,6
119,6
120,5
121,5
122,5
123,5
124,6
125,5
126,5
127,5
128,5
129,4
130,5
131,6
132,6
133,5
134,5
135,5
136,5
137,6
138,6
139,5
140,5
141,5
142,5
143,5
144,6
145,5
146,5
147,5
148,5
149,6
150,5
151,6
152,5
153,5
154,5
155,5
156,5
157,5
158,5
159,6
160,5
161,5
162,5
163,5
164,6
165,6
166,5
167,6
168,5
169,6
170,5
171,5
172,5
173,5
174,5
175,5
176,5
177,5
178,5
179,5
180,5
181,5
182,6
183,5
184,5
185,5
186,5
187,5
188,5
189,5
190,5
191,5
192,5
193,5
194,5
195,5
196,5
197,5
198,6
199,5
