,number_pca_components_class
0,11
1,11
2,12
3,12
4,12
5,12
6,13
7,12
8,11
9,12
10,12
11,12
12,11
13,11
14,12
15,13
16,13
17,13
18,12
19,12
20,11
21,12
22,11
23,10
24,13
25,12
26,12
27,12
28,12
29,13
30,12
31,12
32,13
33,12
34,12
35,12
36,12
37,12
38,12
39,12
40,13
41,12
42,13
43,12
44,12
45,12
46,13
47,13
48,13
49,13
50,12
51,12
52,12
53,13
54,12
55,12
56,12
57,12
58,12
59,13
60,12
61,12
62,13
63,13
64,13
65,12
66,13
67,13
68,12
69,13
70,12
71,12
72,13
73,13
74,12
75,13
76,13
77,13
78,12
79,14
80,14
81,11
82,11
83,13
84,12
85,12
86,12
87,12
88,13
89,13
90,12
91,12
92,13
93,12
94,12
95,12
96,12
97,12
98,12
99,13
100,13
101,12
102,13
103,12
104,13
105,12
106,13
107,12
108,12
109,12
110,13
111,11
112,12
113,13
114,13
115,11
116,12
117,13
118,12
119,13
120,13
121,12
122,13
123,12
124,11
125,13
126,12
127,13
128,11
129,13
130,13
131,13
132,13
133,11
134,12
135,13
136,12
137,13
138,12
139,13
140,12
141,13
142,13
143,12
144,13
145,12
146,12
147,12
148,12
149,13
150,13
151,13
152,13
153,12
154,12
155,13
156,13
157,12
158,13
159,13
160,13
161,13
162,13
163,12
164,13
165,12
166,11
167,11
168,14
169,12
170,13
171,13
172,13
173,12
174,13
175,13
176,12
177,12
178,13
179,13
180,12
181,12
182,12
183,12
184,12
185,13
186,12
187,12
188,13
189,12
190,12
191,11
192,12
193,12
194,12
195,13
196,12
197,12
198,12
199,12
